GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,POP_25OV,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,HU_TOT
Albany Park,50342.99998,12924.99999,12891.99999,11619.99999,8083.999996,2716.999999,1491.999999,612.9999997,33611.99998,34.300953,16126.99999,22985.99999,2501.999998,7202.999996,1524.999999,27977.99998,26352.99998,1570.999999,11815.99999,1060,24865.99998,13287.99999,2063.999998,7723.999996,1530.999999,258.9999997,302784.9997,3373.999997,7848.999994,4077.999999,1376.999999,7196.999997,8191.999996,4568.999997,1824.999999,7768.999996,4059.999998,3319.000001,3668.000001,3056.000001,2124.000001,2522.000001,1989.000001,59883.04094,4227.000001,4495.000001,3088.000001,4868.000002,18447
Archer Heights,13055.08151,4180.292247,2753.61829,2815.956263,1672.978132,985.0516899,400.1848906,247.0000002,7987.638172,32.65470175,2130.751491,10109.73559,122.8409542,647.9125252,43.84095428,6331.047113,5809.924449,521.1226643,3277.749796,109.5857026,5514.716488,3633.225019,528.8911451,1045.22177,260.5125913,46.86596265,0,603.0379756,1605.042196,1147.552745,574.3586505,2263.838967,2989.584493,1330.580517,298.2842943,857.0656066,248.2842943,880.7544638,1309.053571,736.9017855,338.9598213,517.5446427,146.7723214,44108.84007,921.5937495,853.7410708,622.0758928,1532.575892,4358.100203
Armour Square,13779.1184,2542.40801,2788.930936,2297.106212,2520.154383,1922.259432,1163.746373,544.5130587,10443.91179,45.73847873,1694.669183,595.5206042,1393.301799,10027.62682,68.00000001,6469.138782,5766.881268,702.2575145,5427.680153,98.79109472,5496.318373,1974.053434,1094.43451,1157.672729,1168.964751,101.19295,94440.00009,2322.845613,2272.54087,735.2966705,135.6044401,3849.277425,2933.86071,936.1828212,359.8670923,1534.230993,830.4927456,2595.683487,1180.591744,616.9449544,346.1559634,490.6146791,237.9128441,27463.83031,1772.564221,1784.701836,809.587156,1101.050459,5822.586737
Ashburn,43985.99999,12981,8464.999998,9192.999998,8529.999996,3057,1147,613.0000005,27546.99999,35.90115321,4423.999999,17303,20913.99999,370.0000001,975.0000001,22511,19862,2649,10786,383.0000002,18809,13674,2205,2731,40.99999989,158.0000002,68370.00014,964.9999997,4194.999991,5030.999991,2888.999999,4229.999999,8655.999997,6269,2739.999998,3596.999999,2054.999999,2049,2343,2911,2091.999998,2298.000001,1387,68463.735,2539,3210.000001,2528,4803,13728.00001
Auburn Gresham,45271.00001,11183,8665.000001,7891,9595.000003,3860.000001,3204,873.0000003,31178.00001,40.78042825,362.0000001,835.9999999,43529.00001,120,424.0000001,20074.00001,16299.00001,3769.000001,16418.00001,752.0000005,15215.00001,9765.000005,1291.000001,3904.000004,78.00000013,177.0000001,0,5118.999997,7261.999996,3714.999999,870.9999999,4925.000001,9742.000001,9530.000003,2382,2974.000001,1625,6602.999996,4311.999997,2877.999998,1388.999998,1236.999999,547.9999993,34661.2265,6218.999995,4775.999996,2562.999998,3408.999998,20726
Austin,94762.00002,25491,21226,17324,17887,7822.000002,3920.000001,1092,61675.00001,35.54578333,4562.999998,13617,74996.00001,500.0000002,1086,41841.00002,36165.00001,5676.000003,32410.00002,1104,34302.00001,20078,2475.000001,10295.00001,897.0000011,556.9999999,125754.9999,10587.99999,12603.99998,6552.999991,2476.999997,12477,21745.00001,14319,4409.000001,5617.000001,3108,12629,8152.999999,4699.000001,2520,3019,1202,33419.90397,10585,8388,5477,7772.000001,37705
Avalon Park,9737.719124,2217.815512,1546.660391,1592.811747,2228.753012,957.6596381,889.7710844,304.2477409,6860.918673,45.39936491,61.66566266,55.00000004,9368.527106,80.00000003,172.5263555,4237.292519,3546.562082,690.7304377,3950.833917,184.166513,3232.840471,2298.087506,340.845508,548.9637733,8.000000008,36.94368334,0,840.8781637,1762.310007,923.8918347,360.6123834,892.7432226,1799.090361,1916.341114,424.7989456,1159.0625,668.88253,1132.676413,972.0565307,725.5808969,380.8460035,441.88499,230.8128657,43372.9383,1610.699805,1171.996102,365.4035089,735.7582844,4504.305031
Avondale,37908.99999,8748.999997,12371,8155.999998,4962.999999,2282.999999,978.9999994,407.9999997,26441.99999,32.78624003,13175,21652.99999,742.9999999,1417.999999,919.9999997,21829,20782,1046.999999,8762.999999,1043,19447,9845.999999,2061,6166,1010,363.9999996,186824.9996,2623.999996,6393.999992,3436.999995,932.999999,5699.999999,5828.999998,4137.999999,1474,6039.999997,3260.999999,2553.999999,3092.999998,2456.999998,1757.999999,1930.999999,1595,60000,3489.999998,4217.999998,2631.999999,3047.999998,15266
Belmont Cragin,80648.43439,24495.47357,17002.3342,18380.59261,13768.63623,4477.382625,1912.582255,611.4329019,50655.68392,34.03640362,10390.12976,66123.07801,1890.69464,1458.120887,786.4110908,41366.92469,38393.31327,2954.611421,19972.73815,685.6673193,36970.79059,24104.28509,4714.338558,5683.65677,1452.059815,1016.450354,428929.9992,3094.698562,8549.194567,7189.073359,3634.582933,16612.35083,16239.61775,8238.886137,2874.899445,4727.026987,1962.902773,5171.814434,5907.323024,4388.814434,2860.342498,2922.090493,1218.970218,50767.45194,4399.592211,4923.020619,3826.209623,9320.532648,24658.09904
Beverly,20437.00001,5158.000002,2830.000001,4144.000001,4992.000001,2102.000001,862.0000002,349.0000002,14244,43.16004673,11595,1096.000001,7136.000001,190,420.0000002,10691.00001,10227.00001,464.0000005,5396.000007,460.0000006,9496.000011,6666.000007,578.0000007,1978.000003,188.0000003,86.00000003,101775.0002,293.9999993,2825.999995,3169.999997,1266.999998,529.0000002,1896,2600.000001,1233,4000.000001,3986.000001,611.0000001,1087,994,1160,1298,2407,98415.94828,2018,2510,1300,1729,8043
