GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
Albany Park,57655,51542,50342.99998,12924.99999,12891.99999,11619.99999,8083.999996,2716.999999,1491.999999,612.9999997,34.300953,16126.99999,22985.99999,2501.999998,7202.999996,1524.999999,48785.00001,39793.99997,27977.99998,26352.99998,1570.999999,11815.99999,1060,24865.99998,13287.99999,2063.999998,7723.999996,1530.999999,258.9999997,302784.9997,3373.999997,7848.999994,4077.999999,1376.999999,33611.99998,7196.999997,8191.999996,4568.999997,1824.999999,7768.999996,4059.999998,3319.000001,3668.000001,3056.000001,2124.000001,2522.000001,1989.000001,59883.04094,16678,6867.999998,9809.999999,1769,18447,3682.999999,216,3554.999999,3710.999999,7269.999999,5.3544,815.0000001,1593,2912,13127,1786.762779,4254,7381.999998,4646.999999,1682.999999,480.9999997,776.0000001,2621.000001,2533.000001,851.0000004,299732.7303,18067,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2509,2117,1957,1689,1442,5366,Health Care,Retail Trade,Manufacturing,Information,Administration,1014,897,837,515,440,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7132,2825,1643,785,533,Outside of Chicago,Albany Park,Irving Park,West Ridge,Portage Park,2484,533,186,155,154,,,,11783.64945,,,,,,,,,,,1.660925123,1229.160488,302.8772592,0.246409856,295.5282393,0.240430963,34.52091519,0.028084954,75.0401623,0.06104993,53.80426522,0.043773182,20.18811455,0.016424311,413.6236539,0.336509071,n/a,n/a,28.1029245,0.022863511,5.474953959,0.004454222,4227.000001,4495.000001,3088.000001,4868.000002,10635,1567,6043.000001,1997.999998,11,203,1783.999998,4634.999998,332.0000001,853.9999996,3448.999999,3032.999998,868.9999991,1229.999999,933.9999999,6628.999996,4755.999997,1414.999999,458.0000003,26962.99998,19987.99999,46950.99997,17389.99999,29560.99998,14856.99999,17389.99999,19180.99999,1256.999998,222,2227.999998,874,677.9999996,1841.999999,2665.999999,612.9999996,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,
Archer Heights,12644,13393,13055.08151,4180.292247,2753.61829,2815.956263,1672.978132,985.0516899,400.1848906,247.0000002,32.65470175,2130.751491,10109.73559,122.8409542,647.9125252,43.84095428,13053.86606,9608.796909,6331.047113,5809.924449,521.1226643,3277.749796,109.5857026,5514.716488,3633.225019,528.8911451,1045.22177,260.5125913,46.86596265,0,603.0379756,1605.042196,1147.552745,574.3586505,7987.638172,2263.838967,2989.584493,1330.580517,298.2842943,857.0656066,248.2842943,880.7544638,1309.053571,736.9017855,338.9598213,517.5446427,146.7723214,44108.84007,3929.986605,2239.008347,1691.367431,427.7053568,4358.100203,2064.334026,81.7494781,1006.597077,1032.55741,172.8622128,5.553237005,34.62421715,676.3089764,2462.58246,1184.58455,1952.857965,308.398747,1547.770353,1942.557409,335.4363253,223.9373691,486.6249998,1640.245535,105,0,183456.6675,4594,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,659,560,507,463,460,9844,Manufacturing,Transportation,Administration,Retail Trade,Wholesale Trade,2896,1810,1423,859,809,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1707,688,295,284,236,Outside of Chicago,West Lawn,South Lawndale,Brighton Park,Gage Park,5120,291,285,247,237,,,,13482.20221,,,,,,,,,,,1.504478182,1283.804076,168.5504569,0.13128986,68.80594191,0.05359536,18.17661924,0.014158406,52.72312355,0.041067889,37.96304059,0.029570743,333.6055192,0.259857034,555.8869363,0.432999822,n/a,n/a,15.00514554,0.011688034,33.08729291,0.025772852,921.5937495,853.7410708,622.0758928,1532.575892,2917.580356,469.3839281,1012.406249,407.0379753,6,27.96624474,373.0717306,1688.23207,232.6708863,444.2573846,1011.303799,718.0632922,331.7468359,260.5443042,125.7721521,1002.852322,772.0042205,200.8481016,30.00000002,7097.549144,4960.044677,12057.59382,2183.369617,9874.224203,4187.9212,2183.369617,8301.440288,979.5629564,466.5987003,45.00000009,24.99999997,0,0,56.62225825,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,,,,,,
Armour Square,12032,13391,13779.1184,2542.40801,2788.930936,2297.106212,2520.154383,1922.259432,1163.746373,544.5130587,45.73847873,1694.669183,595.5206042,1393.301799,10027.62682,68.00000001,13754.68808,11896.81894,6469.138782,5766.881268,702.2575145,5427.680153,98.79109472,5496.318373,1974.053434,1094.43451,1157.672729,1168.964751,101.19295,94440.00009,2322.845613,2272.54087,735.2966705,135.6044401,10443.91179,3849.277425,2933.86071,936.1828212,359.8670923,1534.230993,830.4927456,2595.683487,1180.591744,616.9449544,346.1559634,490.6146791,237.9128441,27463.83031,5467.903671,2054.822284,3411.770095,356.0779817,5822.586737,488.0084624,599.4019747,873.4428759,1184.765866,2648.967558,4.617227157,944.8406198,2157.379407,784.9097311,1935.456979,1972.655546,1573.973201,1940.093087,1952.447107,212.90409,143.1692523,249.5963303,838.3394501,829.045872,130.5825688,290245.0338,5035,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1115,653,438,391,387,4707,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1578,976,620,371,278,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1712,846,615,330,250,Outside of Chicago,Bridgeport,Armour Square,McKinley Park,Brighton Park,1158,715,615,251,237,,,,7679.484439,,,,,,,,,,,2.176483779,637.4241471,56.11815354,0.088038951,79.23643807,0.124307243,9.858423032,0.015466033,89.51277156,0.1404289,11.24928064,0.01764803,18.03499949,0.028293562,343.6325199,0.539095548,n/a,n/a,15.01918641,0.023562312,14.76237447,0.023159421,1772.564221,1784.701836,809.587156,1101.050459,3428.403671,253.0091743,2039.5,1767.256308,269.0000001,426.0000005,1072.256307,1710.830476,245.6054493,363.6811305,1101.543896,615.9818371,335.8012111,203.12109,77.05953591,1054.764885,857.2835528,187.5428862,9.938446012,4961.550654,8091.272365,13052.82302,3872.517257,9180.305761,6838.265684,3872.517257,323.3933214,36.00000004,8349.5232,68.52096485,0.289424865,6.000000006,225.2315402,170.34731,1.000000002,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,,,,,,
Ashburn,39584,41081,43985.99999,12981,8464.999998,9192.999998,8529.999996,3057,1147,613.0000005,35.90115321,4423.999999,17303,20913.99999,370.0000001,975.0000001,43440,33297,22511,19862,2649,10786,383.0000002,18809,13674,2205,2731,40.99999989,158.0000002,68370.00014,964.9999997,4194.999991,5030.999991,2888.999999,27546.99999,4229.999999,8655.999997,6269,2739.999998,3596.999999,2054.999999,2049,2343,2911,2091.999998,2298.000001,1387,68463.735,13080,10843.00001,2237.000001,648.0000002,13728.00001,11985.00001,194.0000007,337.9999988,622.0000005,588.9999998,6.456871766,254.9999998,1762.000002,11112.00001,598.9999998,1957.475856,501.9999998,2407.000001,7277.000007,2585.000001,957.0000014,3574.999999,6787.000002,346.9999996,104.9999997,169431.4807,16687,Health Care,Education,Retail Trade,Public Administration,Manufacturing,2263,2088,1569,1483,1430,4343,Retail Trade,Utilities,Health Care,Manufacturing,Accommodation and Food Service,890,792,762,366,343,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,7073,3844,858,802,267,Outside of Chicago,Ashburn,Chicago Lawn,Auburn Gresham,South Shore,2492,267,100,99,57,,,,17837.27574,,,,,,,,,,,2.024588915,3109.741438,1267.654974,0.407639992,41.0147385,0.013189115,9.861780477,0.003171254,132.2606009,0.04253106,182.6937832,0.058748866,103.8056305,0.033380791,1071.498311,0.344561865,n/a,n/a,259.8666136,0.083565344,41.08500641,0.013211711,2539,3210.000001,2528,4803,10210,1449.999999,2869.999999,1413.999998,35.9999998,112.0000004,1265.999998,2821.999997,466,393.9999987,1961.999998,2910.999996,794.9999983,1116.999999,998.9999982,5768.999991,3954.999997,1605.999994,208.0000006,33875,7297.999999,41173,26828,14345,4842.000001,26828,12937,143,71.00000003,101.9999997,619.0000008,0,77.9999999,304.0000002,90.99999995,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,,,,,,
Auburn Gresham,55928,48743,45271.00001,11183,8665.000001,7891,9595.000003,3860.000001,3204,873.0000003,40.78042825,362.0000001,835.9999999,43529.00001,120,424.0000001,45156.99997,36492.00002,20074.00001,16299.00001,3769.000001,16418.00001,752.0000005,15215.00001,9765.000005,1291.000001,3904.000004,78.00000013,177.0000001,0,5118.999997,7261.999996,3714.999999,870.9999999,31178.00001,4925.000001,9742.000001,9530.000003,2382,2974.000001,1625,6602.999996,4311.999997,2877.999998,1388.999998,1236.999999,547.9999993,34661.2265,16966.99999,7606.999998,9359.999999,3758.999999,20726,9124.999997,347.9999998,3689,3035,4495,5.941706857,818.0000002,1644,9785.999999,8477.999998,1945.100108,3771.999999,6503.999999,6922.999999,2313.999999,1212.999999,4496.999996,2988.999996,106.0000001,10.00000002,137014.9254,14538,Health Care,Administration,Retail Trade,Education,Accommodation and Food Service,2840,1706,1498,1338,1335,2268,Retail Trade,Accommodation and Food Service,Education,Health Care,Wholesale Trade,650,330,235,202,155,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5086,2821,1210,894,242,Outside of Chicago,Auburn Gresham,South Shore,West Englewood,Roseland,941,199,69,66,60,,,,10588.32037,,,,,,,,,,,1.732237832,2411.968642,800.1402725,0.331737428,319.4367425,0.132438182,22.1472367,0.009182224,90.51849484,0.037528885,109.0889485,0.045228179,54.89306421,0.022758614,834.3641343,0.345926609,n/a,n/a,59.34399755,0.024603967,122.0357504,0.050595911,6218.999995,4775.999996,2562.999998,3408.999998,10307.99999,2265.999999,6658.999995,4669.999996,64.99999992,503.9999996,4100.999997,5356.999998,814.9999999,1381.999999,3159.999999,2838.999999,1290,1074,474.9999998,3137.999999,2429.999999,576.9999997,130.9999998,42245.00003,870.9999995,43116.00003,42253.00002,863.0000012,255.0000002,42253.00002,603.000001,9.000000036,36.99999993,23.00000005,6.000000024,0,15.00000002,162.0000001,8.000000021,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,,,,,,
Austin,117527,98514,94762.00002,25491,21226,17324,17887,7822.000002,3920.000001,1092,35.54578333,4562.999998,13617,74996.00001,500.0000002,1086,93746.00001,74251.00003,41841.00002,36165.00001,5676.000003,32410.00002,1104,34302.00001,20078,2475.000001,10295.00001,897.0000011,556.9999999,125754.9999,10587.99999,12603.99998,6552.999991,2476.999997,61675.00001,12477,21745.00001,14319,4409.000001,5617.000001,3108,12629,8152.999999,4699.000001,2520,3019,1202,33419.90397,32222,13204,19018,5483,37705,9727.000001,735.9999997,11782,6672.999998,8630,5.771115441,1429,2664,10846,22766,1775.471097,6874.999999,13583,11787,3572.000001,1888,5103,6353.000001,1441.999999,246.0000001,173831.9273,33411,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,5788,4058,3806,3146,2705,13230,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,2326,2147,2012,1043,989,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15527,4915,2117,1629,990,Outside of Chicago,Austin,Belmont Cragin,Humboldt Park,North Lawndale,6717,990,260,244,242,,,,10201.78239,,,,,,,,,,,0.69933427,4574.247078,958.052872,0.209444933,794.1884294,0.173621673,62.31247312,0.013622455,206.1060424,0.045057916,206.2583587,0.045091215,499.2045646,0.109133712,1470.444483,0.321461534,n/a,n/a,199.7012992,0.043657742,177.9785561,0.03890882,10585,8388,5477,7772.000001,20177,5350,12045,8779.99999,210.9999997,488.9999993,8079.999991,10666.99999,915.9999989,2097.999998,7652.999992,4656.999996,1621.999999,1766.999999,1267.999998,6699.999984,4572.999991,1726.999994,399.9999986,82940.00004,5221.999997,88162.00004,76108.00005,12053.99999,4151.999998,76108.00005,10728.99999,289.9999998,0,129,140.9999999,18.99999992,119.9999999,438.9999997,186.9999999,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,,,,,,
Avalon Park,11147,10185,9737.719124,2217.815512,1546.660391,1592.811747,2228.753012,957.6596381,889.7710844,304.2477409,45.39936491,61.66566266,55.00000004,9368.527106,80.00000003,172.5263555,9723.764133,8188.126436,4237.292519,3546.562082,690.7304377,3950.833917,184.166513,3232.840471,2298.087506,340.845508,548.9637733,8.000000008,36.94368334,0,840.8781637,1762.310007,923.8918347,360.6123834,6860.918673,892.7432226,1799.090361,1916.341114,424.7989456,1159.0625,668.88253,1132.676413,972.0565307,725.5808969,380.8460035,441.88499,230.8128657,43372.9383,3883.8577,2581.733105,1300.046795,622.7465888,4504.305031,2669.949743,238.1074528,319,499.6897744,777.5580605,6.236911226,378.289429,292.6516467,2096.095323,1737.268632,1946.111652,963.5736586,1233.722705,1202.544195,702.615252,401.8492209,981.6081869,1490.826511,87.5750488,23.00000004,164442.6336,3308,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,629,408,344,273,270,2720,Health Care,Construction,Accommodation and Food Service,Finance,Other Service,1832,234,172,125,121,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,949,871,307,203,110,Outside of Chicago,South Shore,Auburn Gresham,Roseland,Austin,869,135,127,123,109,,,,11996.00199,,,,,,,,,,,2.859074403,800.1087547,304.0586079,0.380021598,27.29928454,0.034119467,2.5777557,0.003221757,44.90504583,0.056123678,43.01241951,0.053758216,12.00895279,0.015009151,313.5653522,0.391903414,n/a,n/a,28.04807396,0.035055327,24.63326225,0.030787392,1610.699805,1171.996102,365.4035089,735.7582844,2108.555556,386.0896688,1775.302144,791.8303149,0,67.5967026,724.2336123,1150.509044,248.9951742,215.2754317,686.2384379,710.3341356,223.2002407,221.1865696,265.9473253,1055.825489,623.1974247,306.3799748,126.2480896,8939.594623,170.0933013,9109.687924,8873.825521,235.8624029,78.55509815,8873.825521,55.82541829,0.994368331,0,0,0,19.88736662,40.76910157,67.67336321,50.71278488,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,,,,,,
Avondale,43083,39262,37908.99999,8748.999997,12371,8155.999998,4962.999999,2282.999999,978.9999994,407.9999997,32.78624003,13175,21652.99999,742.9999999,1417.999999,919.9999997,37822.99998,30592,21829,20782,1046.999999,8762.999999,1043,19447,9845.999999,2061,6166,1010,363.9999996,186824.9996,2623.999996,6393.999992,3436.999995,932.999999,26441.99999,5699.999999,5828.999998,4137.999999,1474,6039.999997,3260.999999,2553.999999,3092.999998,2456.999998,1757.999999,1930.999999,1595,60000,13387.99999,5288.999999,8099.000001,1877.999999,15266,2551,404.9999997,4696.000001,4305.000001,3294,5.595818815,1223.999999,996.9999999,2283,10762,1786.167069,2835,6865.999999,4211.000001,892.0000002,461.9999998,422.9999999,1949.999999,1982.999999,858.9999997,317805.6188,15498,Accommodation and Food Service,Health Care,Professional,Retail Trade,Administration,1780,1710,1560,1487,1280,8257,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Finance,1727,1225,1026,806,614,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5657,2566,1434,934,572,Outside of Chicago,Avondale,Belmont Cragin,Logan Square,Irving Park,4154,344,259,248,215,,,,12853.07505,,,,,,,,,,,0.874526544,1269.297425,161.3034353,0.127080881,312.1340129,0.245910853,34.99896212,0.027573492,100.3619822,0.079068924,27.47548954,0.021646219,130.9090439,0.103135043,478.3776366,0.3768838,n/a,n/a,8.819099177,0.006948016,14.91776287,0.011752772,3489.999998,4217.999998,2631.999999,3047.999998,7748.999996,1085.999999,5638.999997,1586.999997,0,29.9999999,1556.999998,3776.999995,121.9999997,895.9999983,2758.999997,2456.999997,608.9999994,1166.999999,680.9999987,5283.999994,3468.999996,1296.999999,517.9999995,23546.99999,11831,35378,14965,20413,9500.000001,14965,17108,1904,24.99999997,254.0000001,84.99999989,58.99999991,289,643.9999997,44.99999999,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Cragin,78144,78743,80648.43439,24495.47357,17002.3342,18380.59261,13768.63623,4477.382625,1912.582255,611.4329019,34.03640362,10390.12976,66123.07801,1890.69464,1458.120887,786.4110908,80308.17527,61339.66284,41366.92469,38393.31327,2954.611421,19972.73815,685.6673193,36970.79059,24104.28509,4714.338558,5683.65677,1452.059815,1016.450354,428929.9992,3094.698562,8549.194567,7189.073359,3634.582933,50655.68392,16612.35083,16239.61775,8238.886137,2874.899445,4727.026987,1962.902773,5171.814434,5907.323024,4388.814434,2860.342498,2922.090493,1218.970218,50767.45194,22469.3551,11459.85469,11010.21529,2187.943872,24658.09904,9628.727668,504.7416577,5983.708289,5278.835308,3183.086114,5.716801356,1001.866523,2227.801938,8151.467171,13276.9634,1766.425584,3865.381055,9409.310013,6571.059205,2940.865448,1871.483316,1608.475372,7396.270333,2220.206186,168.7674684,235517.1503,26646,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,3706,3289,3272,2989,2642,10791,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,Health Care,3448,2722,989,803,566,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12816,2838,1567,959,850,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,5602,850,303,251,213,,,,13727.45007,,,,,,,,,,,0.888154331,2504.577926,711.9193761,0.284247245,385.3348102,0.153852194,48.23862681,0.019260182,242.3128767,0.096747989,146.5820761,0.05852566,121.3587519,0.048454772,775.6952422,0.309710963,n/a,n/a,64.77975078,0.025864538,8.356415651,0.003336457,4399.592211,4923.020619,3826.209623,9320.532648,17069.56014,3532.213059,5399.794961,3276.045452,9.99999999,68.99999995,3197.045452,7350.368413,363.5837319,1535.3118,5451.472881,4272.39234,1241.259967,1466.681817,1564.450556,6991.575753,4535.854064,1788.317383,667.4043061,43946.36058,31237.9958,75184.35638,13375.0321,61809.32428,27435.62047,13375.0321,55946.29021,3578.172834,0,1021.551604,405.8428529,34.99999983,188.5660698,570.90071,63,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,
Beverly,21992,20034,20437.00001,5158.000002,2830.000001,4144.000001,4992.000001,2102.000001,862.0000002,349.0000002,43.16004673,11595,1096.000001,7136.000001,190,420.0000002,20411,16087.00002,10691.00001,10227.00001,464.0000005,5396.000007,460.0000006,9496.000011,6666.000007,578.0000007,1978.000003,188.0000003,86.00000003,101775.0002,293.9999993,2825.999995,3169.999997,1266.999998,14244,529.0000002,1896,2600.000001,1233,4000.000001,3986.000001,611.0000001,1087,994,1160,1298,2407,98415.94828,7557,6242,1315,486.0000002,8043,6248,107,353.0000001,287.0000003,1027,7.21,154.0000001,494.9999998,3608.000001,3786,1941.938272,757.9999998,1428,3250,1881,725.9999999,467.9999998,2395,2804,517.0000001,313070.7763,9903,Education,Health Care,Public Administration,Professional,Retail Trade,1887,1293,1202,762,674,3329,Professional,Accommodation and Food Service,Retail Trade,Health Care,Administration,543,523,468,393,320,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3619,3256,494,453,322,Outside of Chicago,Beverly,Morgan Park,South Shore,Washington Heights,1583,322,84,78,75,,,,14379.79173,,,,,,,,,,,2.046641896,2038.093742,1043.623654,0.512058711,58.80296981,0.028851946,9.86203456,0.004838852,66.06563123,0.032415404,42.68778334,0.020944956,n/a,n/a,548.8854012,0.269313128,n/a,n/a,257.6114287,0.126398224,10.55483891,0.00517878,2018,2510,1300,1729,5254.000001,311.9999999,2303,314.9999993,6.999999979,0,307.9999993,1217.999997,85.99999976,408.9999988,722.9999984,993.9999986,354.9999993,436.9999995,201.9999999,4838.999996,3366.999997,1037.999999,433.9999993,18058.00002,811.0000011,18869.00002,17651.00002,1218.000001,237.0000004,17651.00002,616.0000009,47.00000009,96.00000008,41.00000003,66.99999992,17.00000005,28.99999998,283.0000003,22.00000007,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,,,,,,
